trial_name,breeding_program,location,year,design_type,description,trial_type,plot_width,plot_length,field_size,planting_date,harvest_date,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,range_number,row_number,col_number,seedlot_name,num_seed_per_plot,weight_gram_seed_per_plot,entry_number,is_private,intercrop_accession_name
B4I_2025_AL,Intercropping Cooperative,"Tallassee, AL",2025,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,,,,,,B4I_2025_AL_1001,IL23-260,1001,1,,,,1,1,,,24,,,NDP250174Y
B4I_2025_AL,Intercropping Cooperative,"Tallassee, AL",2025,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,,,,,,B4I_2025_AL_1002,IL23-963,1002,1,,,,1,2,,,24,,,NDP170336G
B4I_2025_AL,Intercropping Cooperative,"Tallassee, AL",2025,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,,,,,,B4I_2025_AL_1003,IL23-2956,1003,1,,,,1,3,,,24,,,NDP250149G
B4I_2025_AL,Intercropping Cooperative,"Tallassee, AL",2025,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,,,,,,B4I_2025_AL_1004,IL23-1650,1004,1,,,,1,4,,,24,,,NDP250127Y
B4I_2025_AL,Intercropping Cooperative,"Tallassee, AL",2025,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,,,,,,B4I_2025_AL_1005,IL23-723,1005,1,,,,1,5,,,24,,,NDP250049Y
B4I_2025_AL,Intercropping Cooperative,"Tallassee, AL",2025,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,,,,,,B4I_2025_AL_1006,IL23-1209,1006,1,,,,1,6,,,24,,,NDP160188Y
B4I_2025_AL,Intercropping Cooperative,"Tallassee, AL",2025,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,,,,,,B4I_2025_AL_1007,IL23-1206,1007,1,,,,1,7,,,24,,,NDP170052G
B4I_2025_AL,Intercropping Cooperative,"Tallassee, AL",2025,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,,,,,,B4I_2025_AL_1008,IL21-8143,1008,1,,,,1,8,,,24,,,NDP250164Y
B4I_2025_AL,Intercropping Cooperative,"Tallassee, AL",2025,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,,,,,,B4I_2025_AL_1009,IL23-3655,1009,1,,,,1,9,,,24,,,NDP250040Y
B4I_2025_AL,Intercropping Cooperative,"Tallassee, AL",2025,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,,,,,,B4I_2025_AL_1010,IL23-1669,1010,1,,,,1,10,,,24,,,NDP250093Y
B4I_2025_AL,Intercropping Cooperative,"Tallassee, AL",2025,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,,,,,,B4I_2025_AL_1011,IL23-3576,1011,1,,,,1,11,,,24,,,NDP250095Y
B4I_2025_AL,Intercropping Cooperative,"Tallassee, AL",2025,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,,,,,,B4I_2025_AL_1012,IL21-7653,1012,1,,,,1,12,,,24,,,NDP250163Y
B4I_2025_AL,Intercropping Cooperative,"Tallassee, AL",2025,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,,,,,,B4I_2025_AL_1013,IL23-1450,1013,1,,,,1,13,,,24,,,NDP150412G
B4I_2025_AL,Intercropping Cooperative,"Tallassee, AL",2025,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,,,,,,B4I_2025_AL_1014,IL23-1815,1014,1,,,,1,14,,,24,,,NDP250148G
B4I_2025_AL,Intercropping Cooperative,"Tallassee, AL",2025,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,,,,,,B4I_2025_AL_1015,IL23-1423,1015,1,,,,1,15,,,24,,,NDP170008G
B4I_2025_AL,Intercropping Cooperative,"Tallassee, AL",2025,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,,,,,,B4I_2025_AL_1016,IL23-1459,1016,1,,,,1,16,,,24,,,NDP170089G
B4I_2025_AL,Intercropping Cooperative,"Tallassee, AL",2025,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,,,,,,B4I_2025_AL_1017,IL23-739,1017,1,,,,1,17,,,24,,,NDP250086Y
B4I_2025_AL,Intercropping Cooperative,"Tallassee, AL",2025,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,,,,,,B4I_2025_AL_1018,IL23-810,1018,1,,,,1,18,,,24,,,NDP121711R
B4I_2025_AL,Intercropping Cooperative,"Tallassee, AL",2025,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,,,,,,B4I_2025_AL_1019,IL22-4548,1019,1,,,,1,19,,,24,,,NDP250168Y
B4I_2025_AL,Intercropping Cooperative,"Tallassee, AL",2025,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,,,,,,B4I_2025_AL_1020,IL23-3673,1020,1,,,,1,20,,,24,,,NDP170181Y
B4I_2025_AL,Intercropping Cooperative,"Tallassee, AL",2025,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,,,,,,B4I_2025_AL_1021,IL23-4039,1021,1,,,,1,21,,,24,,,NDP250036Y
B4I_2025_AL,Intercropping Cooperative,"Tallassee, AL",2025,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,,,,,,B4I_2025_AL_1022,IL23-453,1022,1,,,,1,22,,,24,,,NDP250064Y
B4I_2025_AL,Intercropping Cooperative,"Tallassee, AL",2025,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,,,,,,B4I_2025_AL_1023,IL23-4274,1023,1,,,,1,23,,,24,,,NDP250111G
B4I_2025_AL,Intercropping Cooperative,"Tallassee, AL",2025,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,,,,,,B4I_2025_AL_1024,IL19-3618,1024,1,,,,1,24,,,24,,,NDP170151Y
B4I_2025_AL,Intercropping Cooperative,"Tallassee, AL",2025,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,,,,,,B4I_2025_AL_1025,IL23-1431,1025,1,,,,1,25,,,24,,,NDP250162Y
B4I_2025_AL,Intercropping Cooperative,"Tallassee, AL",2025,p-rep,B4I 2025 spring oat pea intercrop trial with five locations,phenotyping_trial,,,,,,B4I_2025_AL_1026,IL23-377,1026,1,,,,1,26,,,24,,,NDP150218Y
